latitude,longitude
32.55551,-92.06458
32.4568,-92.0719
32.45681,-92.07002
32.45663,-92.06971
32.45879,-92.06796
32.45673,-92.06297
32.45596,-92.06252
32.45947,-92.06231
32.45933,-92.06948
32.4418,-93.6376833333333
32.4424833333333,-93.6382833333333
32.4427833333333,-93.6384
32.4438166666667,-93.6388333333333
32.4449666666667,-93.639
32.3537166666667,-93.5647666666667
32.35305,-93.56485
32.35345,-93.5658
32.3530833333333,-93.56705
32.53477,-93.922
32.53775,-93.922
32.53761,-93.919
32.54172,-93.91709
32.5326,-93.90786
32.52692,-93.89416
32.53,-93.88403
32.5354,-93.87226
32.53469,-93.85874
32.53254,-93.85397
32.51858,-93.85962
32.51526,-93.8425
32.52023,-93.83595
32.51783,-93.81893
32.40535,-92.09351
32.40642,-92.06413
32.40686,-92.09453
32.40774,-92.10241
32.44193,-92.09274
32.44376,-92.09663
32.43798,-92.10613
32.46288,-92.10961
32.46527,-92.11113
32.47943,-92.10355
32.49073,-92.09103
32.48883,-92.08997
32.48614,-92.09407
32.47934,-92.09608
32.49843,-92.10236
32.49339,-92.10036
32.49569,-92.08739
32.49034,-92.11836
32.51864,-91.99702
32.51587,-91.99776
32.50362,-92.06864
32.50489,-92.06848
32.50267,-92.0737
32.5025,-92.07541
32.50682,-92.07367
32.5088,-92.07953
32.51007,-92.07585
32.51263,-92.08275
32.517387,-92.116458
32.5183,-92.11857
32.501398,-92.138831
32.50449,-92.1384
32.50816,-92.13441
32.50949,-92.13923
32.50792,-92.1494
32.50715,-92.15312
32.50539,-92.15274
32.7374,-94.01198
32.73544,-94.01487
32.73615,-94.01501
32.73103,-94.0176
32.7296,-94.0194
32.72981,-94.01813
32.72944,-94.02074
32.7294,-94.02048
32.6961,-93.93377
32.70097,-93.93921
32.70135,-93.92899
32.69756,-93.92963
32.69744,-93.93041
32.69675,-93.93124
30.50693,-90.3724
30.50485,-90.37468
30.50043,-90.08022
30.528611,-90.396388
30.58949,-90.10055
30.4633,-90.11893
30.50694,-90.37236
30.50473,-90.37325
30.52448,-90.11591
30.444,-90.364
32.5072,-93.91959
32.50974,-93.90511
32.51077,-93.89919
32.50363,-93.88895
32.50045,-93.86639
32.49151,-93.85198
32.50011,-93.82211
32.49642,-93.8087
32.35152,-93.81046
32.34653,-93.78179
32.34851,-93.76813
32.33595,-93.73916
32.326,-93.71731
32.53384,-92.11794
32.52994,-92.10439
32.57077,-92.07954
32.57032,-92.07629
32.53292,-93.33925
32.53772,-93.31402
32.44225,-93.62074
32.44612,-93.61085
32.40299,-93.60431
32.41448,-93.58365
32.42966,-93.58171
32.42567,-93.57656
32.43103,-93.39114
32.51379,-93.36834
32.46195,-93.34868
32.35336,-93.39148
32.69804,-93.66169
32.67385,-93.6576
32.66998,-93.6754
32.70308,-93.55162
32.70288,-93.55166
32.68661,-93.55426
32.68604,-93.55238
32.56572,-93.6817
32.63015,-93.72909
30.438,-90.116
30.487,-90.087
30.481,-90.111
30.47,-90.116
30.494,-90.09
30.495,-90.094
30.498,-90.095
30.522,-90.1
30.524,-90.114
30.522,-90.152
30.504,-90.081
30.497,-90.077
30.43,-90.106
30.47,-90.156
30.74834,-90.47363
30.74779,-90.47478
30.75609,-90.26997
30.75684,-90.26132
30.81877,-90.29313
30.8188,-90.28864
30.50726,-90.36485
30.506081,-90.36566
30.50737,-90.36568
30.50705,-90.36691
30.50737,-90.36759
30.50698,-90.3674
30.5073,-90.3676
30.50761,-90.36878
30.50764,-90.37004
30.57488,-90.24136
30.57486,-90.2411
30.57896,-90.22724
30.57935,-90.22599
30.58788,-90.23937
30.59711,-90.23764
30.58392,-90.200935
30.58497,-90.20991
30.58573,-90.19209
30.5558,-90.14455
30.55789,-90.14688
30.293,-89.711
30.256,-89.68
30.26,-89.682
30.229,-89.669
30.316,-89.724
30.84381,-90.16007
30.8371,-90.17525
30.8544,-90.16755
30.92254,-90.20312
30.92226,-90.20827
30.94374,-89.78501
30.86655,-89.81261
30.78069,-89.85218
30.78221,-89.87044
30.86961,-90.00376
30.721411,-90.08334
30.70996,-90.09762
30.6706,-90.0013
30.66691,-90.00321
30.51176,-90.20483
30.53572,-90.20592
30.56894,-90.24144
30.49293,-90.18534
30.49788,-90.15696
30.4633,-90.11893
30.43981,-90.11856
30.46866,-90.15302
30.48071,-90.08966
30.352,-90.05
30.231,-89.67
30.312,-89.716
30.423,-90.092
30.421,-90.089
30.441,-90.335
30.441,-90.338
30.49303,-90.09422
30.49551,-90.08901
30.457,-90.365
30.435,-90.371
30.463,-90.374
30.48669,-90.0865
30.51103,-90.1097
30.50626,-90.3657
30.52345,-90.09894
30.50366,-90.08134
30.5069444,-90.3641666
30.51267,-90.0784
30.63127,-89.94499
30.63752,-89.8753
30.63981,-89.87188
30.63779,-89.89976
30.62391,-89.97335
30.50339,-89.96642
30.34249,-90.9929
30.26061,-90.95429
30.34358,-90.89156
30.33242,-90.85262
30.32242,-90.85531
30.27334,-90.8364
30.3093619,-90.6103684
30.26,-90.651667
30.258611,-90.635556
30.263889,-90.6275
30.281111,-90.645833
30.317874,-90.678337
30.259722,-90.695556
30.266111,-90.725278
30.275833,-90.779722
30.5494,-90.18456
30.54493,-90.18458
30.53387,-90.19174
30.54736,-90.2034
30.54627,-90.2024
30.56034,-90.20821
30.56286,-90.13682
30.57354,-90.13629
30.57572,-90.1355
30.64691,-90.17265
30.6423,-90.17081
30.67771,-90.12464
30.6659,-90.08089
30.92602,-90.24569
30.55213,-90.09323
30.444,-90.313
30.51199,-90.41458
30.50686,-90.36039
31.3275,-92.40514
32.55694,-92.01604
32.415,-92.0280555555556
31.327802,-92.40776
32.53244,-92.03279
32.4230555555556,-92.0347222222222
31.767636,-93.140874
32.52116,-92.14137
31.376111,-92.4838888888889
31.767623,-93.140856
31.38167,-92.47793
32.47302,-92.156
31.38073,-92.46326
31.758211,-93.06388
32.46921,-92.15998
31.3680555555556,-92.4511111111111
31.75306,-93.13316
32.46904,-92.15948
31.75432,-93.15394
32.48306,-92.13861
31.7713888888889,-93.1116666666667
31.7538888888889,-93.1105555555555
30.61447,-90.24076
30.61401,-90.24059
30.23931,-89.61349
30.30477,-89.63358
30.30484,-89.63344
30.46207,-89.69539
30.46276,-89.69554
30.38548,-89.73439
30.38572,-89.73442
30.38556,-89.73428
30.53966,-89.74039
30.26185,-89.62595
30.25671,-89.62156
31.2048611111111,-93.5412777777778
31.2053611111111,-93.5410277777778
31.0665,-93.5004444444444
30.8525277777778,-93.5463888888889
30.8525277777778,-93.5463333333333
30.8525555555556,-93.5463333333333
30.7741944444444,-93.5783333333333
30.77425,-93.5783333333333
30.5852777777778,-93.6847222222222
30.5852777777778,-93.6847222222222
30.3122222222222,-93.6858333333333
30.3122222222222,-93.6858333333333
30.1827777777778,-93.6455555555556
30.1827777777778,-93.6455555555556
31.0679444444444,-93.5454166666667
31.0679444444444,-93.5454166666667
30.7406111111111,-93.6383055555556
30.7406111111111,-93.6383055555556
30.2886111111111,-93.7655555555555
30.2886111111111,-93.7655555555555
30.1225,-93.7144444444445
30.1225,-93.7144444444445
