latitude,longitude
30.58317,-90.70016
30.50553,-90.32917
30.50583,-90.31972
30.7435,-91.06153
30.44614,-91.0377
30.85828,-91.04481
30.46876,-90.92014
30.75708,-91.04492
30.51628,-90.99397
30.33249,-90.85355
30.55613,-90.62331
30.46809,-90.9202
30.35611,-90.91139
30.456406,-91.038428
30.86211,-91.0315
30.337259,-90.678305
30.54335,-90.69125
30.322236,-90.73581
30.64175,-90.54697
30.6361,-90.5457
30.64175,-90.54697
30.63498,-90.53171
30.30122,-90.90455
30.5296,-91.03703
30.5947,-90.95918
30.47643,-91.13722
30.86911,-91.02692
30.4586,-91.043932
30.5277,-90.7001
30.34252,-90.99292
30.52796,-90.9619
30.86431,-91.02378
30.94489,-90.85189
30.74789,-90.8585
30.52181,-90.95128
30.94389,-90.86878
30.45558,-91.027635
30.309092,-90.609385
30.59846,-91.07418
30.23144,-90.91672
30.85231,-91.02531
30.47602,-91.12946
30.48541,-90.93435
30.56826,-90.74395
30.30005,-90.648688
30.43411,-91.04406
30.48914,-91.11404
30.61557,-90.75363
30.50636,-90.9129
30.66578,-90.62616
30.64901,-90.62284
30.63225,-90.61966
30.59902,-90.61015
30.75242,-90.98714
30.259806,-90.651763
30.45095,-91.03873
30.424739,-91.037701
30.53511,-90.90195
30.50665,-91.09485
30.286479,-90.707996
30.69794,-90.94683
30.70422,-90.86411
30.64494,-90.92719
30.50373,-91.1091
30.46835,-91.06544
30.260719,-90.715115
30.60528,-90.79951
30.83075,-90.83814
30.223,-90.81507
30.86664,-90.81669
30.89039,-90.83
30.51287,-91.12949
30.262263,-90.773012
30.69389,-90.97669
30.49288,-90.74634
30.19857,-90.81534
30.56085,-90.84883
30.88861,-90.86133
30.56646,-90.63316
30.65025,-90.97369
30.3065,-90.94767
30.48949,-91.06644
30.73714,-90.8415
30.73494,-90.8445
30.53461,-90.84744
30.57587,-90.65349
30.22605,-90.74001
30.53376,-90.48748
30.52201,-90.75438
30.61308,-90.99533
30.75971,-90.68233
30.73819,-90.82919
30.66228,-90.89556
30.55619,-90.96725
30.24931,-90.95947
30.5201,-90.71545
30.55625,-90.96725
30.65242,-90.90475
30.55063,-90.71924
30.55313,-90.75507
30.61867,-90.92642
30.63842,-90.70593
30.42083,-91.032117
30.42083,-91.032117
30.48716,-90.3368
30.50717,-90.34446
30.48365,-90.37331
30.510634,-90.37539
30.52341,-90.34585
30.56488,-90.37486
30.56299,-90.40644
30.54423,-90.38299
30.58725,-90.41284
30.59715,-90.44213
30.60276,-90.46047
30.62189,-90.48211
30.63651,-90.49158
30.93042,-90.65061
30.93072,-90.675
30.62152,-90.53149
30.62152,-90.53149
30.47901,-90.868
30.47616,-90.87839
30.47037,-90.88379
30.97083,-90.66261
30.48203,-91.00792
30.51736,-91.01336
30.77764,-90.49539
30.90342,-90.65275
30.87489,-90.63997
30.47601,-90.88988
30.48224,-90.89773
30.48022,-90.90338
30.47655,-90.899
30.57755,-90.52084
30.50767,-90.99944
30.51028,-90.9835
30.77714,-90.50011
30.83044,-90.62528
30.72944,-90.48358
30.72847,-90.48825
30.82378,-90.64717
30.52747,-90.99169
30.64269,-90.47608
30.47613,-90.91077
30.46972,-90.9114
30.54114,-91.006
30.78772,-90.57044
30.76694,-90.54897
30.76694,-90.54897
30.86353,-90.65628
